,Job1,Job1Year,Job2,Job2Year,Job3,Job3Year,Job4,Job4Year,Job5,Job5Year,Job6,Job6Year,Job7,Job7Year,Job8,Job8Year,Job9,Job9Year,Job10,Job10Year
603,Software Engineer Intern,3.0,Founder/Owner,3.33,Founder/Owner,1.08,Web Developer,4.42,,,,,,,,,,,,
604,Software Engineer,4.33,Software Engineer,11.0,Software Engineer,2.58,,,,,,,,,,,,,,
605,Research Scientist,10.0,Associate,4.0,Software Engineer,8.0,Research Scientist,1.08,Graduate Student,6.5,Data Science,1.17,,,,,,,,
606,Fellow,1.92,*Outlier*,1.58,Consultant/Advisor,1.08,Director/Manager,9.0,Director/Manager,3.33,Director/Manager,12.0,Director/Manager,1.17,,,,,,
607,Marketing,4.0,Software Engineer,2.0,Sales,1.58,Software Engineer,1.0,Tech Director,2.5,Tech Director,2.58,,,,,,,,
608,Research Scientist,5.0,,,,,,,,,,,,,,,,,,
609,Software Engineer,3.67,Intern,3.0,Software Engineer Intern,4.0,Software Engineer Intern,4.0,Software Engineer,8.25,Software Engineer,4.0,,,,,,,,
610,Consultant/Advisor,1.25,,,,,,,,,,,,,,,,,,
611,Research Scientist,1.42,Software Engineer Intern,4.0,Software Engineer,2.92,Software Engineer,4.5,,,,,,,,,,,,
612,Software Engineer Intern,4.0,Intern,4.0,Software Engineer,3.42,Software Engineer,3.58,Software Engineer,11.0,,,,,,,,,,
613,Teacher,2.33,Software Engineer,7.58,,,,,,,,,,,,,,,,
614,Web Developer,11.0,Research Scientist,11.0,Research Scientist,11.0,Intern,3.0,Associate,2.92,CEO,1.17,,,,,,,,
615,Software Engineer,7.67,,,,,,,,,,,,,,,,,,
616,Intern,4.0,Software Engineer Intern,4.0,Software Engineer,5.0,Software Engineer,4.0,Software Engineer,1.92,,,,,,,,,,
617,Intern,3.0,Software Engineer Intern,3.0,Software Engineer Intern,4.0,Research Scientist,2.08,Software Engineer,1.67,Data Science,1.92,Data Science,10.0,,,,,,
618,Intern,5.0,Software Engineer,3.0,Software Engineer,7.0,Teacher,4.0,Software Engineer,1.67,Web Developer,6.5,Software Engineer,4.08,,,,,,
619,Officer,1.08,Director/Manager,6.0,Marketing,11.0,Intern,4.0,Intern,3.0,Investor,6.0,Associate,1.67,,,,,,
620,Intern,4.0,Software Engineer,6.58,,,,,,,,,,,,,,,,
621,Intern,5.0,Intern,3.0,Software Engineer,1.08,Project Manager,1.08,Tech Director,1.67,Tech Director,9.0,Project Manager,11.0,Project Manager,1.0,Project Manager,8.0,,
622,Research Scientist,4.0,Analyst,3.58,Associate,5.0,Intern,4.0,Project Manager,7.0,,,,,,,,,,
623,Software Engineer,2.92,Software Engineer Intern,5.0,Software Engineer,8.0,,,,,,,,,,,,,,
624,Intern,4.0,Software Engineer,1.42,Research Scientist,1.92,Research Scientist,10.0,Software Engineer,9.0,Software Engineer,7.0,Software Engineer,8.0,,,,,,
625,Technical Staff,1.25,User Experience,8.0,Technical Staff,1.58,Web Developer,4.0,Software Engineer,6.67,,,,,,,,,,
626,Software Engineer Intern,1.25,Software Engineer,9.0,Project Manager,1.0,Project Manager,2.08,Project Manager,1.5,Project Manager,8.0,Project Manager,1.0,,,,,,
627,Software Engineer,2.0,*Outlier*,4.75,,,,,,,,,,,,,,,,
628,Software Engineer,6.0,Analyst,3.25,Technical Staff,3.33,,,,,,,,,,,,,,
629,Intern,3.25,Software Engineer,1.67,Analyst,2.83,Analyst,2.08,Director/Manager,2.0,,,,,,,,,,
630,Software Engineer Intern,4.0,Analyst,2.0,Analyst,1.08,Associate,1.75,Software Engineer,2.08,,,,,,,,,,
631,Web Developer,4.0,Intern,5.0,Software Engineer,6.67,,,,,,,,,,,,,,
632,Intern,3.0,Intern,3.0,Software Engineer,3.75,Project Manager,1.0,,,,,,,,,,,,
633,Data Science,2.0,Software Engineer,6.67,,,,,,,,,,,,,,,,
634,Software Engineer Intern,3.0,Intern,4.0,Associate,4.25,Vice President,2.42,,,,,,,,,,,,
635,Intern,7.0,Intern,4.0,Intern,3.0,Software Engineer,2.08,Investor,1.08,Investor,2.33,,,,,,,,
636,Software Engineer,4.0,Research Scientist,2.58,,,,,,,,,,,,,,,,
637,Software Engineer Intern,5.0,Software Engineer,1.17,Software Engineer,3.0,Software Engineer,11.0,,,,,,,,,,,,
638,Tech Director,1.08,Software Engineer,1.17,Project Manager,4.0,Director/Manager,4.0,Analyst,1.08,Associate,2.0,CEO,3.75,,,,,,
639,Software Engineer Intern,3.0,Software Engineer,4.0,Software Engineer,9.0,Software Engineer Intern,4.0,Software Engineer,5.08,Software Engineer,7.0,,,,,,,,
640,Software Engineer,2.0,Software Engineer,4.0,Consultant/Advisor,1.08,Software Engineer,7.0,Founder/Owner,2.58,Web Developer,1.33,,,,,,,,
641,Software Engineer Intern,4.0,Intern,2.0,Software Engineer Intern,3.0,Software Engineer,1.0,Software Engineer,1.25,Web Developer,1.58,Software Engineer,3.08,,,,,,
642,Technical Staff,2.0,Software Engineer,5.0,Software Engineer,6.0,Founder/Owner,1.17,Consultant/Advisor,1.75,Consultant/Advisor,1.42,,,,,,,,
643,Software Engineer,5.0,Technical Staff,3.67,,,,,,,,,,,,,,,,
644,Director/Manager,2.67,Software Engineer,1.0,Software Engineer,1.0,Consultant/Advisor,2.75,,,,,,,,,,,,
645,Software Engineer,9.0,Software Engineer,6.0,*Outlier*,3.0,Software Engineer,3.33,,,,,,,,,,,,
646,Research Scientist,2.25,Software Engineer,1.83,Software Engineer,3.17,,,,,,,,,,,,,,
647,Software Engineer Intern,4.0,Software Engineer Intern,1.75,Software Engineer,3.42,Software Engineer,1.42,Software Engineer,3.42,,,,,,,,,,
648,Consultant/Advisor,1.0,Software Engineer Intern,3.0,Software Engineer,5.67,,,,,,,,,,,,,,
649,Software Engineer,9.0,Software Engineer Intern,4.0,Software Engineer,2.33,Software Engineer,2.25,Software Engineer,1.17,,,,,,,,,,
650,Software Engineer,3.0,Software Engineer Intern,3.0,Intern,5.0,Analyst,5.0,Software Engineer,11.0,Project Manager,5.0,Director/Manager,2.0,Director/Manager,1.5,Investor,1.0,,
651,Software Engineer Intern,3.0,Software Engineer,5.67,,,,,,,,,,,,,,,,
652,Project Manager,4.08,Project Manager,1.17,Project Manager,1.33,Project Manager,1.25,Project Manager,1.92,,,,,,,,,,
653,Intern,4.0,Intern,4.0,Intern,4.0,Intern,4.0,Software Engineer,2.25,Software Engineer,6.0,,,,,,,,
654,Graduate Student,5.5,,,,,,,,,,,,,,,,,,
655,Software Engineer Intern,4.0,Software Engineer Intern,4.0,Software Engineer Intern,4.0,Software Engineer,4.0,Software Engineer,4.0,,,,,,,,,,
656,Intern,3.0,Software Engineer,2.0,Software Engineer,8.0,Software Engineer,2.58,,,,,,,,,,,,
657,Intern,2.0,Intern,2.0,Intern,3.0,Consultant/Advisor,2.0,Founder/Owner,3.75,Founder/Owner,1.83,,,,,,,,
658,Software Engineer Intern,3.0,Software Engineer,1.5,Software Engineer,1.25,Founder/Owner,8.0,Software Engineer,1.17,,,,,,,,,,
659,Intern,3.0,Founder/Owner,1.42,Software Engineer Intern,5.0,Software Engineer Intern,3.0,,,,,,,,,,,,
660,Graduate Student,5.42,,,,,,,,,,,,,,,,,,
661,Intern,9.0,Data Science,4.08,Software Engineer,1.67,,,,,,,,,,,,,,
662,Intern,3.0,Associate,1.75,Data Science,2.42,Software Engineer,1.42,,,,,,,,,,,,
663,Software Engineer Intern,3.0,Software Engineer,1.92,Tech Director,3.0,Tech Director,11.0,,,,,,,,,,,,
664,Software Engineer Intern,8.0,Software Engineer,2.58,Software Engineer,11.0,Software Engineer,2.08,,,,,,,,,,,,
665,Officer,3.0,Intern,3.0,Software Engineer Intern,3.0,Software Engineer Intern,3.0,Tech Director,2.08,Software Engineer,5.58,,,,,,,,
666,Intern,1.0,Intern,3.0,Intern,2.0,Software Engineer Intern,7.0,Software Engineer Intern,3.0,Consultant/Advisor,2.58,Consultant/Advisor,1.08,,,,,,
667,Web Developer,6.0,Web Developer,3.67,,,,,,,,,,,,,,,,
668,Software Engineer Intern,3.0,Intern,3.0,Software Engineer,1.92,Web Developer,2.0,,,,,,,,,,,,
669,Software Engineer,5.75,,,,,,,,,,,,,,,,,,
670,Intern,3.0,Intern,3.0,Software Engineer Intern,3.0,Analyst,2.58,Associate,1.08,,,,,,,,,,
671,Software Engineer,6.0,,,,,,,,,,,,,,,,,,
672,Founder/Owner,4.33,Software Engineer,3.75,Software Engineer,1.08,,,,,,,,,,,,,,
673,Software Engineer,9.0,Software Engineer,4.08,Project Manager,1.42,,,,,,,,,,,,,,
674,Editor,1.0,Editor,1.0,Editor,1.0,,,,,,,,,,,,,,
675,Founder/Owner,2.08,Founder/Owner,6.92,Software Engineer,4.33,,,,,,,,,,,,,,
676,Intern,1.08,*Outlier*,7.0,User Experience,1.67,User Experience,4.0,User Experience,10.0,Project Manager,10.0,User Experience,4.0,Project Manager,1.83,,,,
677,Web Developer,4.0,Intern,3.0,Intern,4.0,Associate,11.0,Consultant/Advisor,2.17,Consultant/Advisor,3.0,Director/Manager,8.0,,,,,,
678,Founder/Owner,1.5,Software Engineer Intern,3.0,Founder/Owner,3.33,Consultant/Advisor,1.0,Sales,7.0,Investor,1.33,Partner,2.0,Consultant/Advisor,2.17,Tech Director,6.0,,
679,Consultant/Advisor,7.0,Software Engineer,2.75,Software Engineer,2.33,,,,,,,,,,,,,,
680,Software Engineer Intern,3.0,Software Engineer,3.67,,,,,,,,,,,,,,,,
681,Intern,3.0,Intern,3.0,Intern,4.0,,,,,,,,,,,,,,
682,Project Manager,4.42,,,,,,,,,,,,,,,,,,
683,Founder/Owner,3.0,,,,,,,,,,,,,,,,,,
684,Project Manager,1.58,Sales,9.0,Founder/Owner,5.0,,,,,,,,,,,,,,
685,Analyst,3.0,Analyst,9.0,Founder/Owner,9.0,Intern,3.0,Associate,1.5,Founder/Owner,5.75,Analyst,4.25,,,,,,
686,Intern,3.0,Research Scientist,2.08,Analyst,1.42,Research Scientist,1.25,,,,,,,,,,,,
687,Intern,3.0,Intern,3.0,Software Engineer Intern,5.0,Software Engineer,5.0,,,,,,,,,,,,
688,Software Engineer,2.42,Consultant/Advisor,2.0,,,,,,,,,,,,,,,,
689,Intern,5.0,Project Manager,1.17,Analyst,5.0,Consultant/Advisor,2.42,,,,,,,,,,,,
690,Intern,4.0,Analyst,1.17,Analyst,2.42,Associate,1.17,,,,,,,,,,,,
691,Software Engineer Intern,4.0,Software Engineer Intern,3.0,Software Engineer,2.0,Software Engineer,9.0,Software Engineer,7.0,Software Engineer,5.0,Software Engineer,9.0,,,,,,
692,Teacher,2.58,Software Engineer,2.5,Technical Staff,1.42,Account Management,11.0,,,,,,,,,,,,
693,Intern,4.0,Software Engineer,5.0,,,,,,,,,,,,,,,,
694,Software Engineer Intern,9.0,Software Engineer,2.5,Software Engineer,2.0,,,,,,,,,,,,,,
695,Analyst,4.17,,,,,,,,,,,,,,,,,,
696,Software Engineer,10.0,Teacher,1.75,Consultant/Advisor,1.25,*Outlier*,1.58,,,,,,,,,,,,
697,Software Engineer Intern,3.0,Software Engineer,4.0,,,,,,,,,,,,,,,,
698,*Outlier*,3.75,Founder/Owner,1.17,Software Engineer,3.0,Project Manager,1.25,,,,,,,,,,,,
699,Software Engineer Intern,3.0,Software Engineer Intern,3.0,Software Engineer,1.0,Software Engineer,2.67,Software Engineer,7.0,Software Engineer,1.0,,,,,,,,
700,Software Engineer Intern,3.0,Software Engineer,2.17,Software Engineer,2.5,Software Engineer,2.0,,,,,,,,,,,,
701,Software Engineer Intern,4.0,Software Engineer,4.0,,,,,,,,,,,,,,,,
702,Software Engineer,4.0,Intern,3.0,Director/Manager,4.0,Intern,3.0,Consultant/Advisor,1.5,,,,,,,,,,
703,Intern,4.0,Intern,3.0,Software Engineer,2.0,Data Science,1.58,Data Science,1.08,,,,,,,,,,
704,Software Engineer Intern,3.0,Software Engineer,1.5,Software Engineer Intern,4.0,Software Engineer,1.5,,,,,,,,,,,,
705,Research Scientist,9.0,Research Scientist,1.67,Research Scientist,1.83,,,,,,,,,,,,,,
706,Software Engineer,1.08,Software Engineer,1.5,Software Engineer,2.17,Tech Director,1.0,,,,,,,,,,,,
707,Software Engineer,5.0,,,,,,,,,,,,,,,,,,
708,Analyst,1.33,Technical Staff,8.0,Software Engineer,2.75,Software Engineer Intern,4.0,,,,,,,,,,,,
709,Analyst,1.17,*Outlier*,4.0,,,,,,,,,,,,,,,,
710,Analyst,4.0,Software Engineer,2.5,Software Engineer,1.58,Software Engineer,2.0,,,,,,,,,,,,
711,Project Manager,4.67,,,,,,,,,,,,,,,,,,
712,*Outlier*,3.67,,,,,,,,,,,,,,,,,,
713,Intern,3.0,Intern,4.17,,,,,,,,,,,,,,,,
714,Software Engineer,1.33,*Outlier*,2.25,Software Engineer,2.0,Software Engineer,1.08,,,,,,,,,,,,
715,Intern,4.0,Consultant/Advisor,2.0,*Outlier*,11.0,Intern,11.0,Data Science,2.0,,,,,,,,,,
716,Intern,1.0,Software Engineer Intern,2.0,Software Engineer Intern,2.0,Intern,3.0,Marketing,3.0,Marketing,1.17,Project Manager,3.33,,,,,,
717,Software Engineer Intern,9.0,Software Engineer,1.92,Software Engineer,1.08,,,,,,,,,,,,,,
718,Research Scientist,3.58,,,,,,,,,,,,,,,,,,
719,Associate,1.0,Web Developer,3.67,,,,,,,,,,,,,,,,
720,Software Engineer,4.0,Medical-related,3.33,Software Engineer,1.67,Software Engineer,1.92,Software Engineer,1.08,,,,,,,,,,
721,Software Engineer Intern,4.0,Research Scientist,4.0,Software Engineer,1.83,Software Engineer,2.92,,,,,,,,,,,,
722,Intern,4.0,Associate,1.17,Associate,4.0,Sales,1.58,,,,,,,,,,,,
723,Software Engineer Intern,5.0,Software Engineer Intern,4.0,Web Developer,5.0,,,,,,,,,,,,,,
724,Analyst,4.0,Research Scientist,1.33,Associate,2.67,Software Engineer,1.83,,,,,,,,,,,,
725,Intern,5.0,Research Scientist,1.17,Software Engineer,2.67,,,,,,,,,,,,,,
726,Project Manager,3.0,Project Manager,1.75,,,,,,,,,,,,,,,,
727,Teacher,9.0,Research Scientist,2.17,Software Engineer,4.0,Consultant/Advisor,3.33,,,,,,,,,,,,
728,Software Engineer Intern,3.0,Software Engineer,2.92,Tech Director,2.08,Software Engineer,1.58,,,,,,,,,,,,
729,Web Developer,5.0,Software Engineer,5.0,Founder/Owner,1.17,Software Engineer,2.42,,,,,,,,,,,,
730,Intern,3.0,Intern,5.0,Data Science,3.08,Analyst,1.25,,,,,,,,,,,,
731,Software Engineer Intern,3.0,Software Engineer,2.17,Software Engineer,1.67,Web Developer,1.17,,,,,,,,,,,,
732,Associate,4.5,,,,,,,,,,,,,,,,,,
733,Software Engineer Intern,8.0,Intern,4.0,Software Engineer,3.0,Software Engineer,6.0,Software Engineer,1.0,,,,,,,,,,
734,Software Engineer Intern,3.0,Software Engineer,2.08,Software Engineer,1.67,,,,,,,,,,,,,,
735,Software Engineer Intern,3.0,Software Engineer,3.75,Software Engineer,11.0,,,,,,,,,,,,,,
736,Consultant/Advisor,1.67,Analyst,8.0,Analyst,2.0,Analyst,11.0,,,,,,,,,,,,
737,Intern,3.0,Analyst,1.42,Analyst,2.25,,,,,,,,,,,,,,
738,Software Engineer Intern,4.0,Software Engineer,6.0,Software Engineer,1.92,Software Engineer,2.33,,,,,,,,,,,,
739,Software Engineer Intern,1.25,Intern,3.0,Software Engineer,4.58,Software Engineer,3.25,,,,,,,,,,,,
740,Analyst,9.0,Analyst,5.0,Intern,2.0,Intern,2.0,,,,,,,,,,,,
741,Software Engineer Intern,4.0,Software Engineer,1.75,Software Engineer,2.58,Software Engineer,4.0,,,,,,,,,,,,
742,Intern,6.0,Software Engineer,4.58,,,,,,,,,,,,,,,,
743,Intern,5.0,*Outlier*,1.92,Intern,6.0,Director/Manager,8.0,,,,,,,,,,,,
744,Software Engineer Intern,4.0,Intern,3.0,Analyst,2.58,Associate,2.08,,,,,,,,,,,,
745,Software Engineer Intern,5.0,Consultant/Advisor,1.67,Associate,6.0,Analyst,8.0,,,,,,,,,,,,
746,Consultant/Advisor,3.0,Analyst,3.25,Software Engineer Intern,3.0,Software Engineer,5.08,,,,,,,,,,,,
747,Intern,1.25,Software Engineer Intern,3.0,Software Engineer Intern,3.0,Software Engineer,3.42,,,,,,,,,,,,
748,Software Engineer Intern,4.0,Software Engineer Intern,4.0,Teacher,2.83,Software Engineer,1.58,Software Engineer,2.0,,,,,,,,,,
749,Technical Staff,7.42,Software Engineer Intern,2.25,Software Engineer,2.33,Research Scientist,1.33,,,,,,,,,,,,
750,Intern,2.0,Intern,3.0,Intern,1.0,Web Developer,11.0,Software Engineer,7.0,Software Engineer,6.0,Web Developer,10.0,,,,,,
751,Software Engineer,2.83,,,,,,,,,,,,,,,,,,
752,Software Engineer Intern,5.0,Software Engineer Intern,4.0,Technical Staff,1.0,Technical Staff,1.08,Technical Staff,1.42,,,,,,,,,,
753,Research Scientist,1.17,Software Engineer,1.33,Sales,1.25,Tech Director,1.67,,,,,,,,,,,,
754,Research Scientist,2.67,User Experience,6.0,User Experience,6.0,,,,,,,,,,,,,,
755,Software Engineer,2.08,,,,,,,,,,,,,,,,,,
756,Research Scientist,3.0,,,,,,,,,,,,,,,,,,
757,Consultant/Advisor,5.0,Software Engineer Intern,3.0,Intern,3.0,Software Engineer,1.5,,,,,,,,,,,,
758,Intern,3.0,Software Engineer Intern,3.0,Software Engineer,2.17,Software Engineer,1.08,,,,,,,,,,,,
759,Intern,4.0,Associate,1.5,Software Engineer,2.08,Software Engineer,2.0,,,,,,,,,,,,
760,Software Engineer,3.58,,,,,,,,,,,,,,,,,,
761,Software Engineer,3.42,,,,,,,,,,,,,,,,,,
762,Intern,4.0,Intern,4.0,Investor,1.42,*Outlier*,4.0,Consultant/Advisor,4.0,Consultant/Advisor,11.0,Associate,7.0,Teacher,2.42,,,,
763,Software Engineer Intern,4.0,Software Engineer,3.58,,,,,,,,,,,,,,,,
764,Software Engineer Intern,4.0,Software Engineer,9.0,Software Engineer,1.08,Software Engineer,1.83,,,,,,,,,,,,
765,Software Engineer Intern,3.0,Software Engineer,3.58,,,,,,,,,,,,,,,,
766,Project Manager,3.67,,,,,,,,,,,,,,,,,,
767,Software Engineer Intern,3.0,Associate,1.17,Software Engineer,2.58,,,,,,,,,,,,,,
768,Software Engineer,3.5,,,,,,,,,,,,,,,,,,
769,Intern,3.0,Software Engineer,2.0,,,,,,,,,,,,,,,,
770,Software Engineer Intern,3.0,Software Engineer,2.58,Analyst,11.0,,,,,,,,,,,,,,
771,Software Engineer Intern,3.0,Intern,3.0,Data Science,2.0,,,,,,,,,,,,,,
772,Software Engineer,1.5,Software Engineer,1.42,,,,,,,,,,,,,,,,
773,Intern,2.0,Software Engineer Intern,4.0,Software Engineer,3.67,,,,,,,,,,,,,,
774,Software Engineer Intern,4.0,Software Engineer,1.5,,,,,,,,,,,,,,,,
775,Research Scientist,2.67,,,,,,,,,,,,,,,,,,
776,Consultant/Advisor,2.0,Software Engineer Intern,3.0,Editor,4.0,Software Engineer,1.33,,,,,,,,,,,,
777,Intern,2.0,Software Engineer,2.08,Software Engineer,1.92,Software Engineer,3.0,,,,,,,,,,,,
778,Technical Staff,8.0,Web Developer,5.0,Consultant/Advisor,3.0,,,,,,,,,,,,,,
779,Intern,4.0,User Experience,3.17,Project Manager,1.17,Marketing,1.58,Marketing,1.17,,,,,,,,,,
780,Software Engineer Intern,3.0,Software Engineer Intern,4.0,Software Engineer,1.5,Software Engineer,1.92,Software Engineer,9.0,,,,,,,,,,
781,Systems Administrator,3.08,,,,,,,,,,,,,,,,,,
782,Software Engineer Intern,7.0,Software Engineer Intern,3.0,Consultant/Advisor,2.58,Consultant/Advisor,1.08,,,,,,,,,,,,
783,Software Engineer Intern,8.0,Software Engineer Intern,1.17,Software Engineer,1.25,Software Engineer,5.0,Software Engineer,10.0,,,,,,,,,,
784,Software Engineer Intern,7.0,Software Engineer Intern,4.0,Intern,8.0,Research Scientist,6.0,,,,,,,,,,,,
785,*Outlier*,6.08,,,,,,,,,,,,,,,,,,
786,Software Engineer Intern,3.0,Analyst,2.58,Associate,1.08,,,,,,,,,,,,,,
787,Software Engineer Intern,2.0,Associate,3.58,,,,,,,,,,,,,,,,
788,Software Engineer Intern,6.0,Software Engineer,4.0,,,,,,,,,,,,,,,,
789,Intern,3.0,Software Engineer Intern,3.0,Software Engineer,2.25,Software Engineer,1.17,,,,,,,,,,,,
790,*Outlier*,3.17,,,,,,,,,,,,,,,,,,
791,Software Engineer Intern,4.0,Partner,1.5,Software Engineer,1.25,Software Engineer Intern,3.0,,,,,,,,,,,,
792,Intern,6.0,Associate,3.58,,,,,,,,,,,,,,,,
793,Software Engineer Intern,3.0,Software Engineer,1.42,Software Engineer Intern,3.0,Software Engineer,1.42,,,,,,,,,,,,
794,Intern,3.0,Software Engineer Intern,4.0,Software Engineer,1.58,,,,,,,,,,,,,,
795,Teacher,4.0,Software Engineer,3.58,,,,,,,,,,,,,,,,
796,Intern,3.0,Intern,5.0,Analyst,11.0,Consultant/Advisor,2.17,,,,,,,,,,,,
797,Web Developer,3.33,,,,,,,,,,,,,,,,,,
798,Software Engineer Intern,3.0,Associate,1.17,Software Engineer,2.58,,,,,,,,,,,,,,
799,Analyst,4.0,Software Engineer,2.08,,,,,,,,,,,,,,,,
800,Software Engineer Intern,4.0,Software Engineer,3.67,,,,,,,,,,,,,,,,
801,Intern,1.0,Intern,6.0,Intern,3.0,Analyst,2.08,,,,,,,,,,,,
802,Software Engineer,8.0,Software Engineer,1.08,,,,,,,,,,,,,,,,
803,Intern,5.0,Consultant/Advisor,5.25,Software Engineer,3.08,,,,,,,,,,,,,,
804,Intern,3.0,Intern,1.5,Associate,11.0,Analyst,1.17,,,,,,,,,,,,
805,Research Scientist,8.0,Data Science,2.0,Research Scientist,1.67,User Experience,2.0,,,,,,,,,,,,
806,Research Scientist,2.25,Analyst,1.33,Analyst,1.83,,,,,,,,,,,,,,
807,Intern,2.0,Consultant/Advisor,4.0,Associate,4.0,Analyst,2.58,,,,,,,,,,,,
808,Software Engineer Intern,3.0,Software Engineer Intern,3.0,Software Engineer,2.5,,,,,,,,,,,,,,
809,*Outlier*,3.0,Software Engineer Intern,4.0,,,,,,,,,,,,,,,,
810,Software Engineer,7.0,Software Engineer,2.5,,,,,,,,,,,,,,,,
811,Teacher,2.42,Research Scientist,2.08,,,,,,,,,,,,,,,,
812,Software Engineer Intern,3.0,Software Engineer,2.58,,,,,,,,,,,,,,,,
813,Intern,2.0,Technical Staff,2.0,Intern,3.0,Software Engineer,9.0,Software Engineer,8.0,Software Engineer,7.0,Software Engineer,4.0,,,,,,
814,Software Engineer Intern,2.0,Software Engineer Intern,2.0,Research Scientist,5.0,Software Engineer Intern,3.0,Software Engineer,4.67,,,,,,,,,,
815,Software Engineer,2.67,,,,,,,,,,,,,,,,,,
816,Software Engineer Intern,4.0,Software Engineer,4.0,,,,,,,,,,,,,,,,
817,Software Engineer Intern,4.0,Software Engineer Intern,4.0,Software Engineer Intern,1.08,Software Engineer,10.0,Software Engineer,1.83,,,,,,,,,,
818,Intern,2.0,Consultant/Advisor,2.0,Software Engineer Intern,3.0,Software Engineer,2.67,,,,,,,,,,,,
819,Intern,2.0,Intern,3.0,,,,,,,,,,,,,,,,
820,Intern,2.0,Web Developer,2.42,,,,,,,,,,,,,,,,
821,Software Engineer Intern,4.0,Software Engineer,2.75,Software Engineer,9.0,,,,,,,,,,,,,,
822,Software Engineer,10.0,Software Engineer,1.67,,,,,,,,,,,,,,,,
823,Software Engineer Intern,4.0,Associate,3.0,Software Engineer Intern,1.0,Software Engineer Intern,1.0,Software Engineer,2.67,,,,,,,,,,
824,Software Engineer,1.25,Software Engineer,1.25,,,,,,,,,,,,,,,,
825,*Outlier*,8.0,*Outlier*,2.17,Software Engineer,2.58,,,,,,,,,,,,,,
826,Intern,6.0,,,,,,,,,,,,,,,,,,
827,Intern,3.0,Intern,4.0,Intern,3.0,Intern,3.0,Associate,2.17,*Outlier*,7.0,,,,,,,,
828,Intern,4.0,Intern,1.17,Consultant/Advisor,2.67,Software Engineer,1.0,,,,,,,,,,,,
829,Software Engineer Intern,4.0,Software Engineer Intern,3.0,Software Engineer,1.0,Software Engineer,1.58,,,,,,,,,,,,
830,Software Engineer,1.75,Software Engineer,4.0,Software Engineer,8.0,,,,,,,,,,,,,,
831,Web Developer,10.0,,,,,,,,,,,,,,,,,,
832,*Outlier*,2.0,Intern,2.0,*Outlier*,7.0,Associate,11.0,,,,,,,,,,,,
833,Intern,7.0,,,,,,,,,,,,,,,,,,
834,Software Engineer,9.0,,,,,,,,,,,,,,,,,,
835,Teacher,1.58,Intern,3.0,Intern,3.0,Consultant/Advisor,4.0,Software Engineer Intern,3.0,,,,,,,,,,
836,Intern,4.0,Software Engineer,4.0,Software Engineer,11.0,Software Engineer,2.0,,,,,,,,,,,,
837,Intern,4.0,Associate,3.0,Software Engineer,1.25,Consultant/Advisor,1.25,,,,,,,,,,,,
838,Software Engineer,3.0,Research Scientist,1.0,,,,,,,,,,,,,,,,
839,Web Developer,1.25,Software Engineer Intern,4.0,Analyst,2.33,Analyst,7.0,Associate,1.0,,,,,,,,,,
840,Software Engineer Intern,4.0,Fellow,3.0,,,,,,,,,,,,,,,,
841,Intern,4.0,Software Engineer Intern,2.0,Software Engineer,2.25,Software Engineer,3.0,,,,,,,,,,,,
842,*Outlier*,5.0,Software Engineer,4.67,,,,,,,,,,,,,,,,
843,Research Scientist,4.0,Research Scientist,10.0,Founder/Owner,2.5,Software Engineer,2.67,Software Engineer,2.08,,,,,,,,,,
844,Software Engineer,4.0,Web Developer,11.0,User Experience,3.0,,,,,,,,,,,,,,
845,Research Scientist,4.0,Software Engineer,2.5,,,,,,,,,,,,,,,,
846,Software Engineer,3.0,Software Engineer Intern,4.0,Software Engineer Intern,4.0,Data Science,4.0,Software Engineer,9.0,Software Engineer,1.58,,,,,,,,
847,Software Engineer Intern,3.0,Research Scientist,1.0,,,,,,,,,,,,,,,,
848,Intern,2.0,Intern,3.0,Intern,4.17,,,,,,,,,,,,,,
849,User Experience,1.0,User Experience,3.0,User Experience,2.58,,,,,,,,,,,,,,
850,Software Engineer Intern,3.0,Software Engineer,9.0,Software Engineer,1.75,Software Engineer,2.0,,,,,,,,,,,,
851,Software Engineer Intern,3.0,Web Developer,11.0,Software Engineer Intern,6.0,Web Developer,1.75,,,,,,,,,,,,
852,Intern,3.0,Intern,4.0,Intern,3.0,Intern,3.0,,,,,,,,,,,,
853,Intern,2.0,Founder/Owner,2.92,,,,,,,,,,,,,,,,
854,Software Engineer Intern,4.0,Sales,2.58,,,,,,,,,,,,,,,,
855,Intern,4.0,Intern,4.0,Data Science,1.17,Analyst,1.33,,,,,,,,,,,,
856,*Outlier*,2.0,Intern,2.0,Intern,3.0,Software Engineer,1.5,,,,,,,,,,,,
857,Intern,3.0,Intern,2.33,Intern,5.0,Software Engineer Intern,5.0,Associate,1.5,Software Engineer,1.08,,,,,,,,
858,Sales,2.0,,,,,,,,,,,,,,,,,,
859,Software Engineer,2.58,,,,,,,,,,,,,,,,,,
860,Intern,6.0,Research Scientist,3.0,Software Engineer Intern,3.0,Software Engineer,1.08,,,,,,,,,,,,
861,Software Engineer Intern,4.0,Software Engineer,3.0,,,,,,,,,,,,,,,,
862,Director/Manager,9.0,Technical Staff,5.58,Teacher,5.0,Software Engineer Intern,3.0,*Outlier*,6.0,Software Engineer,1.67,,,,,,,,
863,Software Engineer Intern,8.0,Software Engineer,2.08,,,,,,,,,,,,,,,,
